"Matrix_Index_A","Matrix_Index_B","Region_A","Region_B","Connectivity_A","Connectivity_B","Difference","Effect_Size","Abs_Effect_Size","Bayesian_P_Value","Comparison","Effect_Category","Significance_Category","Combined_Category","index.x","RegionA_Area","RegionA_Side","RegionA_Name","color.x","ctxlabel.x","RSNsID.x","RSNsID17.x","X.x","Y.x","Z.x","RegionA_RSN","RegionA_RSNName","R.x","G.x","B.x","index.y","RegionB_Area","RegionB_Side","RegionB_Name","color.y","ctxlabel.y","RSNsID.y","RSNsID17.y","X.y","Y.y","Z.y","RegionB_RSN","RegionB_RSNName","R.y","G.y","B.y","Connection_Name","Network_Pair","Brain_Regions","Direction"
1,2,1,2,0.120045254193452,0.0850785341202956,-0.0349667200731564,-0.323184013455031,0.323184013455031,0.591,"S1_vs_S2","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,"rh-lateralorbitofrontal ↔ rh-parsorbitalis","LS - DMN","lateral orbitofrontal - pars orbitalis","Decreased"
1,3,1,3,0.0804299609395279,0.117916603805741,0.0374866428662128,0.346474695570852,0.346474695570852,0.506,"S1_vs_S2","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,"rh-lateralorbitofrontal ↔ rh-frontalpole","LS - LS","lateral orbitofrontal - frontal pole","Increased"
2,3,2,3,0.0664086232585802,0.0590084545100161,-0.00740016874856406,-0.0683969280333343,0.0683969280333343,0.917,"S1_vs_S2","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,"rh-parsorbitalis ↔ rh-frontalpole","DMN - LS","pars orbitalis - frontal pole","Decreased"
1,4,1,4,0.267637665884949,0.300276451199463,0.032638785314514,0.301667803276167,0.301667803276167,0.749,"S1_vs_S2","Small","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-lateralorbitofrontal ↔ rh-medialorbitofrontal","LS - LS","lateral orbitofrontal - medial orbitofrontal","Increased"
2,4,2,4,0.0692953950573067,0.0608014976704737,-0.00849389738683302,-0.0785058433164074,0.0785058433164074,0.951,"S1_vs_S2","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-parsorbitalis ↔ rh-medialorbitofrontal","DMN - LS","pars orbitalis - medial orbitofrontal","Decreased"
3,4,3,4,0.167676977617388,0.168896410205242,0.00121943258785409,0.0112707487878764,0.0112707487878764,0.975,"S1_vs_S2","Negligible","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,"rh-frontalpole ↔ rh-medialorbitofrontal","LS - LS","frontal pole - medial orbitofrontal","Increased"
1,5,1,5,0.0886253119324487,0.0179244838475612,-0.0707008280848875,-0.653460699981676,0.653460699981676,0.106,"S1_vs_S2","Medium","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-lateralorbitofrontal ↔ rh-parstriangularis","LS - FP","lateral orbitofrontal - pars triangularis","Decreased"
2,5,2,5,0.184671988341311,0.175496423138257,-0.00917556520305374,-0.0848062380983149,0.0848062380983149,0.948,"S1_vs_S2","Negligible","Not Significant","Neither",1,"pars orbitalis","lateral","rh-parsorbitalis","#146432","cortical",7,17,161.1,83.404,181.14,"Default","DMN",205,62,78,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-parsorbitalis ↔ rh-parstriangularis","DMN - FP","pars orbitalis - pars triangularis","Decreased"
3,5,3,5,0.0179380872666772,0.00814586461328497,-0.00979222265339224,-0.0905057669448978,0.0905057669448978,0.733,"S1_vs_S2","Negligible","Not Significant","Neither",2,"frontal pole","medial","rh-frontalpole","#640064","cortical",5,10,157.01,117.77,211.57,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-frontalpole ↔ rh-parstriangularis","LS - FP","frontal pole - pars triangularis","Decreased"
4,5,4,5,-0.0132668298690778,-0.0468147838457731,-0.0335479539766953,-0.310070901323012,0.310070901323012,0.652,"S1_vs_S2","Small","Not Significant","Neither",3,"medial orbitofrontal","medial","rh-medialorbitofrontal","#c8234b","cortical",5,10,162.58,123.5,184.02,"Limbic","LS",220,248,164,4,"pars triangularis","lateral","rh-parstriangularis","#dc3c14","cortical",6,8,142,77.526,176.15,"Frontoparietal","FP",230,148,34,"rh-medialorbitofrontal ↔ rh-parstriangularis","LS - FP","medial orbitofrontal - pars triangularis","Decreased"
1,6,1,6,0.0453692512359535,-0.0164935208466152,-0.0618627720825688,-0.571773930276259,0.571773930276259,0.083,"S1_vs_S2","Medium","Not Significant","Neither",0,"lateral orbitofrontal","medial","rh-lateralorbitofrontal","#000000","cortical",5,10,166.42,105.56,175.97,"Limbic","LS",220,248,164,5,"pars opercularis","lateral","rh-parsopercularis","#dcb48c","cortical",6,12,128.89,81.037,161,"Frontoparietal","FP",230,148,34,"rh-lateralorbitofrontal ↔ rh-parsopercularis","LS - FP","lateral orbitofrontal - pars opercularis","Decreased"
